%s was successfully added to your shopping cart.,%s قد تم اضافتها بنجاح الى عربة التسوق الخاصة بك.
&laquo; Back to Billing Information,&laquo; العودة إلى بيانات الفاتورة
&laquo; Back to Select Addresses,&laquo; العودة إلى اختيار العناوين
&laquo; Back to Shopping Cart,&laquo; العودة إلى عربة التسوق
* Required Fields,* حقول مطلوبة
Add New Address,إضافة عنوان جديد
Add New Condition,إضافة شرط جديد
Add to Cart,الإضافة إلى عربة التسوق
Add to Compare,الإضافة للمقارنة
Add to Wishlist,الإضافة إلى قائمة الأمنيات
Address,العنوان
Address %s of %s,العنوان %s لـ %s
After adding a product redirect to shopping cart,إعادة التوجيه إلى عربة التسوق بعد إضافة منتج
Allow Guest Checkout,السماح للزائر بإنهاء عملية الشراء
Already registered?,هل أنت مسجل؟
An error occurred in the process of payment,لقد حصل خطأ في عملية الدفع
Apply Coupon,استخدم قسيمة شرائية
Are you sure you would like to remove this item from the shopping cart?,هل أنت متأكد من إزالة هذه السلعة من عربة التسوق؟
Back,العودة
Back to Shipping Information,العودة إلى بيانات الشحن
"Based on your selection, you may be interested in the following items:",طبقا لاختيارك، قد تكون مهتما بالسلع التالية:
Billing Address,عنوان دفع الفاتورة
Billing Information,بيانات الفاتورة
Billing Information - %s,بيانات الفاتورة - %s
Can not add item to shopping cart,لا يمكن إضافة السلعة إلى عربة التسوق
Can not apply coupon code.,لا يمكن استخدام كود القسيمة الشرائية
Can't open overview page,لا يمكن فتح صفحة مراجعة الطلب
Cancel Coupon,إلغاء القسيمة الشرائية
Cannot remove item,لا يمكن إزالة السلعة
Cannot update shopping cart,لا يمكن تحديث عربة التسوق
Card Verification Number Visual Reference,رقم التحقق من البطاقة بمرجع مرئي
Change,تغيير
Change Billing Address,تغيير عنوان دفع الفاتورة
Checkbox text,نص خانة الإختيار
Checkout,عملية الشراء
Checkout Conditions,شروط عملية الشراء
Checkout Options,خيارات عملية الشراء
Checkout Section,قسم عملية الشراء
Checkout Terms and Conditions,شروط وأحكام عملية الشراء
Checkout as Guest,انهاء عملية الشراء كزائر
Checkout as a Guest or Register,انهاء عملية الشراء كزائر أو قم بالتسجيل
Checkout method,طريقة عملية الشراء
Checkout with Multiple Addresses,إنهاء عملية الشراء بعناوين متعددة
City,المدينة
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","إضغط<a href=""%s"" onclick=""this.target='_blank'"">هنا لطباعة</a>نسخة من تأكيد طلبك"
Close,إغلاق
Company,الشركة
Condition Name,اسم الشرط
Condition was successfully deleted,لقد تم حذف الشرط بنجاح
Condition was successfully saved,لقد تم تخزين الشرط بنجاح
Configurable product image,صورة المنتج متعدد الخيارات
Confirm Password,تأكيد كلمة المرور
Content,محتوى
Content Height,إرتفاع المحتوى
Content Height (css),إرتفاع المحتوى (css)
Continue,متابعة
Continue Shopping,الاستمرار بالتسوق
Continue to Billing Information,الاستمرار إلى بيانات الفاتورة
Continue to Review Your Order,الاستمرار إلى مراجعة طلب الشراء
Continue to Shipping Information,الاستمرار إلى بيانات الشحن
Country,الدولة
"Coupon code ""%s"" is not valid.","رمز القسيمة الشرائية ""%s"" غير صحيح."
"Coupon code ""%s"" was applied successfully.","تم تطبيق رمز القسيمة الشرائية ""%s"" بنجاح"
Coupon code was canceled successfully.,تم إلغاء رمز القسيمة الشرائية بنجاح
Create Billing Address,إنشاء عنوان دفع الفاتورة
Create Shipping Address,إنشاء عنوان دفع الفاتورة
Customer Address is not valid.,عنوان العميل غير صالح
Data saving problem,خطأ في حفظ البيانات
Default Billing,الدفع الإفتراضي
Default Shipping,الشحن الإفتراضي
Delete Condition,حذف الشرط
Details,تفاصيل
Disable Onepage Checkout,"تعطيل عملية الشراء ""Onepage"""
Disabled,معطل
Discount Codes,رموز الخصم
Display Cart Summary,عرض ملخص عربة التسوق
Display Shopping Cart Sidebar,عرض الشريط الجانبي لعربة التسوق
Display item quantities,عرض كميات السلع
Display number of items in cart,عرض عدد السلع في عربة التسوق
Easy access to your order history and status,الوصول السهل لحالة وتاريخ طلبك
Edit,تعديل
Edit Address,تعديل العنوان
Edit Billing Address,تعديل عنوان دفع الفاتورة
Edit Items,تعديل السلع
Edit Shipping Address,تعديل عنوان الشحن
Edit Terms and Conditions,تعديل الشروط والأحكام
Edit Your Cart,تعديل عربة التسوق خاصتك
Email Address,عنوان البريد الإلكتروني
Enable Terms and�Conditions,تفعيل الشروط والأحكام
