By Designer,التصنيف حسب المصمم
%s and above,%s وما فوق
"There is already an account with this email address. If you are sure that it is your email address, <a href=%s>click here<a> to get your password and access your account.","هنالك بالفعل حساب مسجل بالبريد الالكتروني الذي أدخلته , لاستعادة حسابك <a href=%s>اضغط هنا<a>. "
We will get back to you soon.,سنقوم بمراجعة طلبك و سوف نتواصل معك
You have not purchased any downloadable products yet.,لا يوجد في سلتك أي 
My Wishlist,قائمة الأمنيات
My Wishlist ,قائمة الأمنيات
The subscription has been removed.,لم تعد مشتركاً في النشرة البريدية
back,الرجوع
The address has been saved.,تم حفظ عنوانك الجديد.
The account information has been saved.,تم حفظ معلوماتك.
newsletter,النشرة البريدية
item,قطعة
items,قطع
Wishlist - %d item(s),قائمة الاماني - %d قطع (s)
The subscription has been saved.,شكراً لاشتراكك في النشرة البريدية.
Compare Items,مقارنة المنتجات
Edit,تعديل
"Hello, %s!",مرحباً، %s!
Password minimal length must be more %s,كلمة المرور يجب ان يكون اكثر %s محارف
%s has been moved to wishlist %s,%s تم نقل المنتج إلى سلة الأمنيات %s
Move,نقل
Reorder,إعادة طلب الشراء
As low as:,تخفيض بقيمة
My Wishlist <small>(%d)</small>,قائمة الأمنيات <small>(%d)</small>
pending,قيد التحقق
Your order has been received.,شكراً لارسال طلب الشراء.
"<p>Click <a href=""%s"">here</a> to continue shopping.</p>","<p>اضغط  <a href=""%s"">هنا</a> لتستمر بالتسوق</p>"
"Click <a href=""%s"">here</a> to continue shopping.","اضغط <a href=""%s""> هنا </a>لتستمر بالتسوق"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","اضغط <a href=""%s"" onclick=""this.target='_blank'"">هنا لطباعة</a> نسخة من طلب الشراء"
collapsible,الرئيسية
Submit,إرسال
Thank you for registering with %s.,شكراً للاشتراك في متجر %s.
Thank you for registering with %s .,شكراً للاشتراك في متجر %s.
<span>Thank you for registering with %s.</span>,شكراً للاشتراك في متجر %s.
Thank you for registering with %d.,شكراً للاشتراك في متجر %s.
Thank you for registering with %d .,شكراً للاشتراك في متجر %s.
<span>Thank you for registering with %d.</span>,شكراً للاشتراك في متجر %s.
Product Details and Comment,معلومات عن المنتج مع تعليقات عنه
Your Wishlist has been shared.,تمت مشاركة قائمة الأمنيات الخاصة بك
View shopping cart,مشاهدة سلة التسوق
Shop By,التسوق حسب
Category,التصنيف
You have no items in your shopping cart.,هنا ستظهر المنتجات التي ستقوم بإضافتها إلى سلة التسوق
Compare,ابدأ بالمقارنة
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","أنت بالفعل تملك حساب لدينا ! <a href=""%s"">اضغط هنا</a> لنرسل لك كلمة المرور الخاصة بحسابك !"
"Please, enter your comments...",ادخل تعليقات على المتنج هنا.
"%s has been added to your wishlist. Click <a href=""%s"">here</a> to continue shopping.","%sتمت إضافته إلى قائمة الأمنيات الخاصة بك . اضغط  <a href=""%s"">هنا</a> لتكمل التسوق."
You're reviewing:,أنت تقوم بإبداء رأيك في :
Your review has been accepted for moderation.,شكراً لارسالك هذا التقييم ، سنقوم بمراجعته.
The product %s has been added to comparison list.,تمت إضافة %s إلى قائمة المقارنة
Send Email,أرسل بريد الكتروني
The link to a friend was sent.,لقد تسلّم صديقك بريداً الكترونياً عن هذا المنتج.
My Orders,طلبات الشراء خاصتي
View All Tags,شاهد كل الوسوم
Last Ordered Items,آخر طلبات الشراء الخاصة بي
%s tag(s) have been accepted for moderation., شكراً لارسال %s وسم ، سنقوم بمراجعته ونشره
Ship To,اشحن إلى
"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s تم اضافتها بنجاح في قائمة الاماني. اضغط <a href=""%2$s"">here</a> لتكملة التسويق"
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s تم اضافتها بنجاح في قائمة الاماني. اضغط <a href=""%2$s"">هنا</a> لتكملة التسويق"
The comparison list was cleared.,تم افراغ قائمة المقارنة.
Buy %1$s for %2$s,اشتري %1$s ب%2$s
Buy %1$s for %2$s (%3$s incl. tax) each,اشتري %1$s ب %2$s (%3$s incl. tax) each
Buy %1$s for %2$s each and save %3$s,تست
Buy %1$s for %2$s each,اشتري %1$s بسعر %2$s للسلعة الواحدة
Buy %1$s for,اشتري %1$s 
Buy %1$s,اشتري %1$s
save,وفّر
Tag Name:,اسم الوسم :
Compare Products %s,مقارنة المنتجات %s
My Downloadable Products,المنتجات القابلة للتحميل
Newsletter Subscriptions,النشرة البريدية
My Product Reviews,آرائي في المنتجات
View Cart,مشاهدة السلّة
There are no products matching the selection.,لا يوجد منتجات في هذا القسم.
Sign Up for Our Newsletter,سجّل في قائمتنا البريدية ليصل آخر آخبارنا
Enter your email address...,ادخل بريديك الالكتروني هنا …
Are you sure you would like to remove all products from your comparison?,هل أنت متأكد من أنك تريد حذف كل محتويات قائمة مقارنة المنتجات؟
Clear All,حذف كل المنتجات
Compare Products,مقارنة المنتجات
"There is <a href=""%1$s"">%2$s item</a> in your cart.",تست
