-- Please select --,-- اختر من فضلك --
Allowed currencies,العملات المتاحة
Base currency,العملة الاساسية
Cannot retrieve rate from %s,لايمكن استرجاع معدل من %s
Connection timeout in seconds,سيتم إنقطاع الاتصال خلال ثواني
Continue &raquo;,تابع&raquo;
Country,بلد
Country Api,Api البلد
Country and Format Type combination should be unique,الجمع بين البلد ونوع التنسيق ينبغي ان يكون فريد من نوعه
Currency,العملة
Currency Options,خيارات العملة
Currency Setup,اعدادات العملة
Currency Update Warnings,تحذير تحرير بيانات العملة
Currency will be used for all online payment transactions,سيتم استخدام العملة لجميع معاملات الدفع عبر الانترنت
Default display currency,العملة المعروضة اعتياديا
Directory,دليل
Enabled,مفعل
Error Email Recipient,مستقبل رسالة الخطأ
Error Email Sender,مرسل رسالة الخطأ
Error Email Template,قالب رسالة الخطأ
FATAL ERROR:,خطأ حيوي:
Frequency,التردد
Installed Currencies,العملات المعدة
Invalid Import Service Specified,الخدمة المحددة للاستيراد غير صالحة
Invalid country code: %s,خطأ فى شفرة الدولة: %s
Invalid rates received,خطأ فى المعدل المستخدم
Invalid target currency,خطأ فى العملة المستهدفة
List of countries,قوائم البلدان
List of regions in specified country,قائمة المناطق في البلد المحدد
Region,منطقة
Region Api,منطقة Api
Remove space from currency sign,إحذف الفراغات من علامة العملة
Scheduled Import Settings,اعدادات الاستيراد المجدول
Select Your Currency,إختر عملتك
Service,الخدمة
Start Time,زمن البداية
State/Province,الولاية - المحافظة
Strikeiron Email Update Warnings,Strikeiron تحذيرات تحديث البريد الإلكتروني
Unable to initialize import model,تعذر تهيئة نموذج الاستيراد
"Undefined rate from ""%s-%s""","معدل غير معرف من ""%s-%s"""
WARNING:,تحذير:
Webservicex,Webservicex
Your current currency is: %s,عملتك الحالية هى: %s
