Sign up with Facebook, سجل الدخول باستخدام فيس بوك
Sign in with Twitter, سجل الدخول باستخدام تويتر
Sign in with Google, سجل الدخول باستخدام جوجل
Sign in with Linkedin, سجل الدخول باستخدام لينكدان
"Facebook Connect","اتصال بواسطة Facebook"
"Google Connect","اتصال بواسطة Google"
"Twitter Connect","اتصال بواسطة Twitter"
"LinkedIn Connect","اتصال بواسطة LinkedIn"
"You can register using your Facebook account.","يمكنك التسجيل باستخدام حساب Facebook الخاص بك."
"You can register using your Google account.","يمكنك التسجيل باستخدام حساب Google الخاص بك."
"You can register using your Twitter account.","يمكنك التسجيل باستخدام حساب Twitter الخاص بك."
"You can register using your LinkedIn account.","يمكنك التسجيل باستخدام حساب LinkedIn الخاص بك."
"Sign in with <i class=""icon icon-facebook""></i>","دخول بواسطة <i class=""icon icon-facebook""></i>"
"Sign in with <i class=""icon icon-googleplus""></i>","دخول بواسطة <i class=""icon icon-googleplus""></i>"
"Sign in with <i class=""icon icon-linkedin""></i>","دخول بواسطة <i class=""icon icon-linkedin""></i>"
"Sign in with <i class=""icon icon-twitter""></i>","دخول بواسطة <i class=""icon icon-twitter""></i>"
"You can login using your Facebook account.","يمكنك تسجيل الدخول باستخدام حساب Facebook الخاص بك."
"You can login using your Google account.","يمكنك تسجيل الدخول باستخدام حساب Google الخاص بك."
"You can login using your Twitter account.","يمكنك تسجيل الدخول باستخدام حساب Twitter الخاص بك."
"You can login using your LinkedIn account.","يمكنك تسجيل الدخول باستخدام حساب LinkedIn الخاص بك."
"Connect","اتصال"
"You can connect store account with your Facebook account so you could login easier in the future.","يمكنك ربط حسابك مع حساب Facebook الخاص بك حتى يمكنك من دخول أسهل في المستقبل."
"You can connect store account with your Google account so you could login easier in the future.","يمكنك ربط حسابك مع حساب Google الخاص بك حتى يمكنك من دخول أسهل في المستقبل."
"You can connect store account with your Twitter account so you could login easier in the future.","يمكنك ربط حسابك مع حساب Twitter الخاص بك حتى يمكنك من دخول أسهل في المستقبل."
"You can connect store account with your LinkedIn account so you could login easier in the future.","يمكنك ربط حسابك مع حساب LinkedIn الخاص بك حتى يمكنك من دخول أسهل في المستقبل."
