* Required Fields,* الحقول المطلوبة
A new password was sent,تم إرسال كلمة مرور جديدة
Account Dashboard,لوحة التحكم الرئيسية للحساب
Account Information,بيانات الحساب
Account Sharing Options,خيارات مشاركة الحساب
Account information was successfully saved,تم حفظ بيانات الحساب بنجاح
Action,فعل
Add New Address,إضافة عنوان جديد
Add New Customer,إضافة عميل جديد
Add New Customer Group,إضافة مجموعة عملاء جديدة
Added From,مضاف من
Additional Address Entries,مدخلات عنوان إضافية
Address,العنوان
Address Book,دفتر العنوان
Address Information,بيانات العنوان
Addresses,العناوين
Admin,الإدارة
All,الكل
All Store Views,مشاهدات جميع واجهات المتاجر
All countries,كل الدول
Always optional,دائما اختياري
Amount,كمية
Approved,موافق عليه
Are you sure that you want to remove this item?,هل أنت متأكد أنك تريد إزالة هذه السلعة؟
Are you sure you want to cancel adding of this address?,هل أنت متأكد أنك تريد إلغاء إضافة هذا العنوان؟
Are you sure you want to delete this address?,هل أنت متأكد أنك تريد حذف هذا العنوان؟
Are you sure?,هل أنت متأكد؟
Array of Entity collections is expected,من المتوقع تجمع مصفوفة من الكيان
Assign a customer group,تعيين مجموعة العملاء
Average Sale,متوسط البيع
Back,العودة
Back to Login,العودة لتسجيل الدخول
Bad request.,طلب خطآ.
Bill to Name,الفاتورة إلى الاسم
Billing Information,بيانات الدفع
Bought From,تم الشراء من
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.",عن طريق انشاء حساب مع شركائنا في المتجر ، سوف تكون قادرة على التحرك من خلال عملية الخروج بشكل اسرع ، وتخزين متعددة تتناول النقل البحري ، وبالنظر الى المسار الاوامر الخاصة بك في حسابك وأكثر.
CSV,CSV
Can't save address,لا يمكن حفظ العنوان
Can't save customer,لا يمكن حفظ العميل
Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.,من خلال إنشاء حساب مع متجرنا ، ستكون قادرًا على اجراء  عملية الدفع بشكل أسرع ، وتخزين عناوين شحن متعددة ، وعرض وتتبع طلباتك في حسابك وأكثر من ذلك.
Cancel,إلغاء
Change Account Password,تغيير كلمة مرور الحساب
Change Billing Address,تغيير عنوان الدفع
Change Password,تغيير كلمة المرور
Change Shipping Address,تغيير عنوان الشحن
City,المدينة
Company,الشركة
Config,اعدادات
Confirm New Password,تأكيد كلمة المرور الجديدة
Confirm Password,تأكيد كلمة المرور
Confirmation Link Email,تأكيد وصلة البريد الإلكتروني
Confirmed,مؤكدة
Contact Information,بيانات الاتصال
Continue Shopping,الاستمرار بالتسوق
Country,الدولة
Create,إنشاء
Create New Account Options,خيارات إنشاء حساب جديد
Create New Customer Account,إنشاء حساب عميل جديد
Create Order,إنشاء طلب شراء
Create an Account,إنشاء حساب
Create customer,إنشاء عميل
Create customer address,إنشاء عنوان العميل
Current Password,كلمة المرور الحالية
Customer,العميل
Customer Addresses,عناوين العميل
Customer Api,تطبيق العميل
Customer Configuration,اعدادات العميل
Customer Group,مجموعة عملاء
Customer Group was successfully deleted,تم حذف مجموعة عملاء بنجاح
Customer Group was successfully saved,تم حفظ مجموعة عملاء بنجاح
Customer Groups,مجموعات عملاء
Customer Information,بيانات العميل
Customer Login,تسجيل دخول العميل
Customer Since,عميل منذ
Customer View,عرض العملاء
Customer collection expected,تجمع عملاء متوقع
Customer doesn't have primary billing address,العميل ليس لديه عنوان دفع رئيسي
Customer email already exists,البريد الإلكتروني للعميل موجود بالفعل
"Customer website id must be specified, when using website scope.",يجب تحديد الرمز التعريفي للموقع، عند استخدام نطاق الموقع.
Customers,العملاء
Customers Only,العملاء فقط
Customers Section,قسم العملاء
Date,التاريخ
Date Added,التاريخ المضاف
Date of Birth,تأريخ الميلاد
Date of Birth is required.,تأريخ الميلاد مطلوب
Day,اليوم
Days in Wishlist,الأيام في قائمة الأمنيات
Default Addresses,العناوين الافتراضية
Default Billing Address,عنوان الدفع الافتراضي
Default Email Domain,البريد الالكتروني الافتراضي للنطاق
Default Group,المجموعة الافتراضية
Default Shipping Address,عنوان الشحن الافتراضي
Default Welcome Email,إيميل الترحيب الافتراضي
Delete,حذف
Delete Address,حذف العنوان
Delete Customer,حذف العميل
Delete Customer Group,حذف مجموعة عملاء
Delete customer,حذف عميل
Delete customer address,حذف عنوان العميل
Deleted Stores,المتاجر المحذوفة
Details,التفاصيل
Disabled,غير مفعل
Edit,تحرير
Edit Account Info,تحرير بيانات الحساب
Edit Account Information,تحرير بيانات الحساب
Edit Address,تحرير العنوان
Edit Address Entry,تحرير مدخل العنوان
"Edit Customer Group ""%s""","تحرير مجموعة العملاء ""%s"""
Edit Customer Groups,تحرير مجموعات العملاء
Edit Customer's Address,تحرير عنوان العميل
Edit Group,تحرير مجموعة
Edit Newsletter Subscription,تحرير اشتراك النشرة البريدية
Edit Newsletters,تحرير النشرات البريدية
Edit Personal Information,تحرير البيانات الشخصية
Email,البريد الإلكتروني
Email Address,عنوان البريد الإلكتروني
Email Sender,مرسل البريد الإلكتروني
Entity collection is expected,ومن المتوقع تجمع الكيان
Error during retrieval of option value: %s,خطأ أثناء استرداد قيمة الخيار: %s
Ext. Price,السعر الخارجي
Failed to confirm customer account.,فشل تأكيد حساب العميل
Fax,فاكس
First Name,الاسم الأول
First name can't be empty,الاسم الأول يجب أن لا يكون خالي
Forgot Email Sender,نسيت البريد الالكتروني للمرسل
Forgot Email Template,نسيت البريد الالكتروني للقالب
Forgot Your Password?,هل نسيت كلمة المرور؟
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,من خلال لوحة التحكم الخاص بك لديك القدرة على عرض لقطة اخيرة من نشاط الحساب وتحديث معلومات حسابك. اختر الرابط ادناه لعرض او تعديل المعلومات.
General Subscription,اشتراك عام
Global,عالمي
Go to Address Book,اذهب الى دفتر العناوين
Grand Total,المجموع الكلي
Grand Total: %s,المجموع الكلي: %s
Group,مجموعة
"Group ""%s"" can not be deleted","مجموعة ""%s"" لا يمكن حذفها"
Group Information,بيانات المجموعة
Group Name,اسم المجموعة
Guest,زائر
HTML,لغة النص التشعبي
"Hello, %s!",مرحبا، %s!
ID,الرمز التعريفي
IP Address,عنوان بروتوكول الإنترنت
"If you have an account with us, please log in.",إذا كنت تمتلك حسابا معنا، من فضلك قم بتسجيل الدخول.
"Invalid attribute option specified for attribute %s (%s), skipping the record",خيار السمة %s (%s) غير محدد بشكل صحيح، تخطى السجل
"Invalid attribute set specified, skipping the record",مجموعة السمات المحددة غير صحيحة، تخطى السجل
Invalid current password,كلمة المرور الحالية غير صحيحة
Invalid customer data,بيانات العميل غير صحيحة
Invalid email address,عنوان البريد الإلكتروني غير صحيح
"Invalid email address ""%s""","عنوان البريد الإلكتروني غير صحيح  ""%s"""
Invalid login or password.,العنوان او الاسم السري غير صحيح
"Invalid option id specified for %s (%s), skipping the record",خيار رمز التعريف %s (%s) المحدد غير صحيح،  تخطى السجل
"Invalid store specified, skipping the record",المتجر المحدد غير صحيح ، تخطى سجل
Items Order,سلع طلب الشراء
Last 5 Orders,اخر 5 طلبات
Last Activity,اخر نشاط
Last Name,اسم العائلة
Last Url,اخر رابط موقع
Last Viewed Items,آخر السلع المعروضة
Last date subscribed,اخر تاريخ مشترك
Last date unsubscribed,اخر تاريخ غير مشترك
Last name can't be empty,الاسم العائلي لا يجوز ان يكون خالي
