 was not delivered nor scanned,لم يتم تسليمها أو مسحها ضوئيا
1 Day Freight,شحن بيوم واحد
2 Day Freight,شحن بيومين
2Day,يومين
2nd Day Air,ثاني يوم للشحن الجوي
2nd Day Air AM,ثاني يوم للشحن الجوي AM
2nd Day Air AM Letter,ثاني يوم للشحن الجوي AM رسالة
2nd Day Air Letter,ثاني يوم للشحن الجوي رسالة
3 Day Freight,ثالث يوم شحن
3 Day Select,اختيار ٣ أيام
Access ID,معرف الدخول
Access license number,رقم رخصة الدخول
Account ID,معرف الحساب
Account number,رقم الحساب
Additional Protection Configuration Value,القيمة  لتكوين الحماية الإضافية
Additional Protection Enabled,الحماية الإضافية مفعلة
Additional Protection Min Subtotal,الحد الأدنى للمجموع الفرعي للحماية الإضافية
Additional Protection Value,قيمة الحماية الإضافية
Additional Protection Value Rounding Method,طريقة تقدير قيمة الحماية الإضافية
All Services,جميع الخدمات
Allowed methods,الطرق المسموح بها
Bound Printed Matter,ملزمة مطبوعة المواد
Business Service Center,مركز الخدمة التجاري
Calculate Handling Fee,حساب رسوم التوصيل
Canada Standard,معيار كندا
Cannot retrieve shipping rates,لا يمكن استرجاع معدلات الشحن
Commercial,تجاري
Configuration,تكوين
Container,حاوية
Customer Packaging,التعبئة والتغليف للعملاء
DHL,DHL
Default Package Height,الإرتفاع الإفتراضي للطرد
Default Package Length,الطول الإفتراضي للطرد
Default Package Width,العرض الإفتراضي للطرد
Delivered,تم التسليم
Destination type,نوع المكان المقصود
Displayed Error Message,رسالة الخطأ المعروضة
Domestic Shipment Days,أيام الشحنة المحلية
Drop Box,صندوق الإسقاط
Dropoff,إنزال
Empty response,رد فارغ
Enable Negotiated Rates,تمكين المعدلات المتفاوض عليها
Enabled,مفعل
Error #%s : %s (%s),خطأ #%s : %s (%s)
Error #%s: %s,خطأ #%s: %s
Europe First Priority,اوروبا الاولوية الاولى
Express,سريع
Express 10:30 AM,سريع 10:30 صباحا
Express Mail,البريد السريع
Express Saturday,سريع يوم السبت
Express Saver,سريع توفير
FedEx,FedEx
FedEx 10kg Box,صندوق FedEx ١٠ كلغ
FedEx 25kg Box,صندوق FedEx ٢٥ كلغ
FedEx Box,صندوق FedEx
FedEx Envelope,ظرف FedEx
FedEx Pak,صندوق FedEx Pak
FedEx Tube,انبوب FedEx
First Overnight,الليلة الاولى
First-Class,الدرجة الاولى
Flat,ثابت
Flat-Rate Box,صندوق  معدل ثابت
Flat-Rate Envelope,ظرف  معدل ثابت
Free method,الطريقة المجانية
Free shipping with minimum order amount,الشحن المجاني مع الحد الأدني لكمية طلب الشراء
Gateway URL,رابط البوابة
Gateway XML URL,رابط البوابة XML
Ground,بري
Ground Commercial,بري تجاري
Ground Residential,بري سكني
Handling Applied,تم تطبيق التوصيل
Handling fee,رسوم التوصيل
Home Delivery,التسليم للمنزل
